,Product_name,1,2,3,4,5
50,Bride & Bride Tribe Sunnies - Bride Tribe (Black Frames),Bride & Bride Tribe Sunnies - Bride,Future Mrs. | Cheers Bitches Tank Tops - Cheers Bitches (Pink Tank) ,Just Drunk Koozies - Black,Bride Tribe Party Cups (6 count),Bride & Bride Tribe Sunnies - Bride Tribe (Neon Pink Frames)
51,Bride & Bride Tribe Sunnies - Bride Tribe (Neon Pink Frames),Bride & Bride Tribe Sunnies - Bride Tribe (Black Frames),Bride & Bride Tribe Sunnies - Bride,Bride To Be Sashes - White,You Had Me at Tacos Napkins,"Drink Up, Bitches! Paper Shot Cups (10 count)"
52,Bride & Bride Tribe Sunnies - Bride Tribe (Pink Frames),Let's PARTAY! Frost Flex Shot Cups (8 count),Sippity Yay! Frost Flex Cups (8 count),Pink Pineapple Mason Jar Sipper,Bride & Bride Tribe Sunnies - Bride,Magnolias & Mimosas Tissue Paper Tassel Garland
53,Bride Headband,Team Bride Shot Glass Set,Bachelorette Party Pins (10 or 15 pack) - 10 Pack,Bride Squad Napkins,Bachelorette Headband Party Pack (8 Pack),Bach & Boujee Party Cups (8 count)
54,Bride Headband - Gold,I Said Yes! Shot Cups (8 count),Wine Eyed Drink Markers,Bride Pin - Gold,Bride's Drinking Team Shot Cups (10 count),Bride Squad Wine & Champagne Cups (8 count)
55,Bride Headband - White,Maid of Honor Headband,Team Bride Napkins,Nashelorette Banner,Bride Tribe Koozies - Neon Pink (Bride Tribe),"Bride To Be ""Mad Libs"""
56,Bride Koozies - White,Bride Tribe Koozies - Black,Bride Tribe Koozies - Pink,Sip Sip Hooray Banner,Bride Squad Paper Shot Cups (10 count),Pink & Gold Brushed Heart Balloon Set
57,Bride Pin - Gold,Miss to Mrs. Sashes - Black,Wine Eyed Drink Markers,Bride Headband - Gold,Flamingo String Lights,Bride Tribe Koozies - Black
58,Bride Pin - Pink,Mini Light Pink Heart Balloon Set,Pink Donut Drink Floaties Set,Mermaid Squad Tissue Paper Tassel Garland,Pink Chevron Party Straws,Mylar Love Calligraphy Balloon
59,Bride Pin - Silver,Cheers Bitches Can Coolers - Future Mrs. (White Koozie),Just Drunk Koozies - Pink,Cheers Bitches Can Coolers - Cheers Bitches (Pink Koozie),Bachelorette Bash Party Cups (8 count),Cactus Pins Party Pack - 10 Pack
60,Bride Squad Frost Flex Wine Cups (8 count),Black & Gold Brushed Heart Balloon Set,"Grey, Pink & Mint Drunk in Love Tanks - Drunk in Love (Grey Tank) ",Pink Party Balloons,Acrylic Confetti Wine Tumbler - Pink & Mint Ombre,Bachelorette Bash Acrylic Wine Tumbler
61,Bride Squad Gold Tattoo Party Pack,Sippity Yay! Frost Flex Cups (8 count),Pink Pineapple Mason Jar Sipper,Let's PARTAY! Frost Flex Shot Cups (8 count),Bride & Bride Tribe Sunnies - Bride Tribe (Pink Frames),Bride & Bride Tribe Sunnies - Bride
62,Bride Squad Napkins,"Drink Up, Bitches! Paper Shot Cups (10 count)",Bachelorette Bash Acrylic Wine Tumbler,Yay Wine! Wine Tumbler Set,Bride Tribe Pins Party Pack - 10 Pack,Drink Up Bitches! Napkins
63,Bride Squad Paper Shot Cups (10 count),Pink & Gold Brushed Heart Balloon Set,Acrylic Confetti Wine Tumbler - Blush Ombre,Bride Tribe Koozies - Pink,Acrylic Confetti Wine Tumbler - Pink Ombre,Mini Light Pink Heart Balloon Set
64,Bride Squad Shot Cups (10 count),Bride Zippered Pouch,Chillin' With My Beaches Party Cups (8 count),Bride's Drinking Team Shot Cups (10 count),Bride Squad Wine & Champagne Cups (8 count),This Se̱orita Needs a Margarita Napkins
65,Bride Squad Wine & Champagne Cups (8 count),My Heart On A String Banner,Squad Goals Banner,Bride's Drinking Team Shot Cups (10 count),I Said Yes! Shot Cups (8 count),Bride Headband - Gold
66,"Bride To Be ""Mad Libs""",Navy & Pink Bride's Drinking Team Shot Cups (8 count),Hangover Emergency Kit,Gettin' Hitched Tassel Garland,Gettin' Hitched Party Pins (10 Pack),Team Bride Dinner Plates
67,Bride To Be Booty Veil,Drunk in Love Koozies - Neon Pink (Just Drunk),Best Day Ever Gold Tattoo,Squad Goals Banner,Gold Bachelorette Nail Tattoos,Unicorn Drink Floaties Set
68,Bride To Be Headband - Gold,Drunk in Love Koozies - White,Champagne Campaign Koozies - Pink (Champagne Campaign),Daisy Sunnies,Flamingo Sunnies,Miss To Mrs Headband - Pink
69,Bride To Be Headband - Hot Pink,Bride Squad Frost Flex Wine Cups (8 count),Black & Gold Brushed Heart Balloon Set,Miss to Mrs. Sashes - Light Pink,Pink Party Balloons,Acrylic Confetti Wine Tumbler - Pink & Mint Ombre
70,Bride To Be Headband - Light Pink,Bride Squad Frost Flex Wine Cups (8 count),Inflatable Bride Crown,Black & Gold Brushed Heart Balloon Set,Cheer's Y'all Banner,Acrylic Confetti Wine Tumbler - Pink & Mint Ombre
71,Bride To Be Headband Veil,Drunk in Love Tanks - Just Drunk (Mint) ,Anchor Shot Cups (8 count),Mermaid Squad Tissue Paper Tassel Garland,Bride Tribe Gold Tattoo Party Pack - Party Pack (11 Bride Tribe / 1 Bride),Same Penis Forever Banner
72,Bride To Be Sashes - Black,Bride Tribe Pins Party Pack - 10 Pack,Mini Bride Crowns - Gold (Bride),Heart Sunnies - Black,Gold Bachelorette Tattoos Mix Pack,Final Fiesta Koozies - Green (Fiesta Siesta Tequila Repeat)
73,Bride To Be Sashes - Light Pink,Pin the Junk on the Hunk,Bride Tribe Tanks - Bride (Grey Tank) ,"Drink Up, Bitches! Shot Cups (10 count)",Clear Glass Diamond Sipper with Straw,Engagement Ring Garland
74,Bride To Be Sashes - White,"""Brides Have More Fun"" Tees - Blonde (Heather Black) ","""Brides Have More Fun"" Tees - Brunette (Heather Black) ","Let's Get Nauti Koozies (10 count) - Party Pack (1 White, 9 Navyl)",Let's Get Nauti Banner,Bride & Bride Tribe Sunnies - Bride Tribe (Neon Pink Frames)
75,Bride To Be Sunnies,Flamingo Sunnies,Bride Tribe Can Coolers - Black (Bride Tribe),Gold Pineapple Sipper,I Do Crew Gift Bags (Set of 5),Team Bride Balloons
76,Bride Tribe Can Coolers - Black (Bride Tribe),Bride To Be Sunnies,You Had Me at Tacos Napkins,Cheers Bitches Tanks - Cheers Bitches (Pink Tank) ,Chillin' With My Beaches Party Cups (8 count),Clear Glass Diamond Sipper with Straw
77,Bride Tribe Can Coolers - Pink (Bride Tribe),Bride Tribe Can Coolers - White (Bride),Bride Squad Gold Tattoo Party Pack,Drinking Buddies Drink Markers (6 Pack),Bachelorette Dare Cards,You Had Me at Tacos Napkins
78,Bride Tribe Can Coolers - White (Bride),Bride Tribe Can Coolers - Pink (Bride Tribe),Aloha Beaches Can Coolers - Aloha Beaches (Black Koozie),Pink & Green Pineapple Tumbler with Straw,Aloha Beaches Tanks - Aloha Beaches (Yellow Tank) ,Bride Squad Gold Tattoo Party Pack
79,Bride Tribe Frost Flex Cups (8 count),"Drink Up, Bitches! Paper Shot Cups (10 count)",Black & White Bride Tribe Tanks - Bride (White Tank) ,Bachelorette Bash Acrylic Wine Tumbler,Bride Squad Napkins,Bride Squad Paper Shot Cups (10 count)
80,Bride Tribe Gold Tattoo Party Pack - Party Pack (11 Bride Tribe / 1 Bride),Mermaid Squad Tissue Paper Tassel Garland,Drinking Buddies Drink Markers (6 Pack),Bride Tribe Gold Tattoo Party Pack - Single (1 Bride Tribe),Bride To Be Sashes - Black,White Pineapple Napkins
81,Bride Tribe Gold Tattoo Party Pack - Single (1 Bride Tribe),Bride Tribe Gold Tattoo Party Pack - Party Pack (11 Bride Tribe / 1 Bride),You Had Me at Tacos Napkins,Cheers Bitches Tanks - Cheers Bitches (Pink Tank) ,Chillin' With My Beaches Party Cups (8 count),Clear Glass Diamond Sipper with Straw
82,Bride Tribe Koozies - Black,Bride Koozies - White,Bride Pin - Gold,Palm Tree Drink Floaties Set,Drinking Buddies Drink Markers,Bride To Be Headband - Hot Pink
83,Bride Tribe Koozies - Black (Bride Tribe),Bride Tribe Koozies - White (Bride),Blush Gold Dots Snack Plates,Bride Tribe Sunnies - Bride Tribe (Black Frames),Bride Tribe Party Cups (8 count),Last Fling Before The Ring Napkins
84,Bride Tribe Koozies - Neon Pink (Bride Tribe),Bride Tribe Koozies - White (Bride),Bride Tribe Tanks - Bride Tribe (Mint) ,Bride Headband - White,Drunk in Love Koozies - Black (Just Drunk),Nashelorette Banner
85,Bride Tribe Koozies - Pink,Bride Koozies - White,Bride Squad Paper Shot Cups (10 count),Pink & Gold Brushed Heart Balloon Set,Last Fling Before The Ring Paper Shot Cups (10 count),Mini Light Pink Heart Balloon Set
86,Bride Tribe Koozies - White (Bride),Bride Tribe Koozies - Black (Bride Tribe),Bride Tribe Koozies - Neon Pink (Bride Tribe),Gettin' Hitched Party Pins (10 Pack),Navy & Pink Bride's Drinking Team Shot Cups (8 count),Feelin' Nauti Shot Cups (10 count)
87,Bride Tribe Party Cups (6 count),Future Mrs. | Cheers Bitches Tank Tops - Cheers Bitches (Pink Tank) ,Drink up Bitches! Frost Flex Cups (8 count),Just Drunk Koozies - Black,Bride & Bride Tribe Sunnies - Bride Tribe (Black Frames),Inflatable Hunk Ring Toss
