Day Index,Revenue
10/29/18,$0.00
10/30/18,$107.35
10/31/18,$20.71
11/1/18,$94.83
11/2/18,$149.08
11/3/18,$0.00
11/4/18,$243.18
11/5/18,$0.00
11/6/18,$220.85
11/7/18,$46.38
11/8/18,$67.41
11/9/18,$133.76
11/10/18,$0.00
11/11/18,$25.08
11/12/18,$102.61
11/13/18,$26.68
11/14/18,$164.05
11/15/18,$40.63
11/16/18,$154.48
11/17/18,$26.87
11/18/18,$41.71
11/19/18,$226.12
11/20/18,$0.00
11/21/18,$0.00
11/22/18,$0.00
11/23/18,$0.00
11/24/18,$0.00
11/25/18,$36.10
11/26/18,$69.30
11/27/18,$71.42
11/28/18,$53.30
11/29/18,$0.00
11/30/18,$190.13
12/1/18,$0.00
12/2/18,$87.05
12/3/18,$0.00
12/4/18,$72.46
12/5/18,$21.68
12/6/18,$0.00
12/7/18,$79.77
12/8/18,$0.00
12/9/18,$70.84
12/10/18,$114.69
12/11/18,$68.02
12/12/18,$0.00
12/13/18,$16.11
12/14/18,$106.61
12/15/18,$163.20
12/16/18,$252.74
12/17/18,$81.81
12/18/18,$297.45
12/19/18,$186.76
12/20/18,$86.11
12/21/18,$90.38
12/22/18,$0.00
12/23/18,$74.86
12/24/18,$150.48
12/25/18,$0.00
12/26/18,$24.82
12/27/18,$53.84
12/28/18,$207.62
12/29/18,$289.47
12/30/18,$160.80
12/31/18,$187.92
1/1/19,$190.98
1/2/19,$831.06
1/3/19,$437.37
1/4/19,$649.65
1/5/19,"$1,474.35"
1/6/19,$596.42
1/7/19,$499.33
1/8/19,$599.80
1/9/19,$352.48
1/10/19,$913.87
1/11/19,$704.05
1/12/19,$429.10
1/13/19,$421.39
1/14/19,$541.45
1/15/19,$923.15
1/16/19,$338.94
1/17/19,$505.53
1/18/19,$735.84
1/19/19,$754.92
1/20/19,$248.43
1/21/19,$529.02
1/22/19,$398.55
1/23/19,$790.16
1/24/19,$184.07
1/25/19,"$1,338.95"
1/26/19,$245.87
1/27/19,$392.24
1/28/19,$891.36
1/29/19,"$1,674.42"
