,item 1,item 2,count
212,Bach Shit Crazy Banner,"36"" Mylar Engagement Ring Balloon",1
213,Bach Shit Crazy Banner,"36"" Mylar Flamingo Balloon",2
214,Bach Shit Crazy Banner,Bach Shit Crazy Banner,1
215,Bach Shit Crazy Banner,Cheers Beaches Shot Cups (8 count),1
216,Bach Shit Crazy Banner,Drunk in Love Frost Flex Cups (8 count),1
217,Bach Shit Crazy Banner,Engagement Ring Drink Floaties Set,1
218,Bach Shit Crazy Banner,Engagement Ring Garland,1
219,Bach Shit Crazy Banner,Flamingo Drink Floaties Set,1
220,Bach Shit Crazy Banner,Flamingo Napkins,1
221,Bach Shit Crazy Banner,Flamingo Straws,1
222,Bach Shit Crazy Banner,Gold Chevron Party Straws,1
223,Bach Shit Crazy Banner,Gold Photo Booth Backdrop,1
224,Bach Shit Crazy Banner,Gold Pineapple Sipper,1
225,Bach Shit Crazy Banner,Gold Polka Dot Party Straws,1
226,Bach Shit Crazy Banner,I Do Crew Flower Crowns - Blue,1
227,Bach Shit Crazy Banner,I Do Crew Flower Crowns - Pink,1
228,Bach Shit Crazy Banner,I Do Crew Flower Crowns - Purple,1
229,Bach Shit Crazy Banner,I Do Crew Flower Crowns - White,2
230,Bach Shit Crazy Banner,I Do Crew Gold Confetti Balloons,1
231,Bach Shit Crazy Banner,Let's Flamingle Napkins,1
232,Bach Shit Crazy Banner,Let's Get Smashed Shot Cups (8 count),1
233,Bach Shit Crazy Banner,Lingerie Shower Garland,1
234,Bach Shit Crazy Banner,Mini Cactus String Lights,1
235,Bach Shit Crazy Banner,Mini Gold Heart Balloon Set,1
236,Bach Shit Crazy Banner,Mini Light Pink Heart Balloon Set,1
237,Bach Shit Crazy Banner,Pineapple Cheers! Napkins,1
238,Bach Shit Crazy Banner,Pineapple Drink Floaties Set,1
239,Bach Shit Crazy Banner,Pineapple Party Napkins,1
240,Bach Shit Crazy Banner,Pineapple Snack Plates,1
241,Bach Shit Crazy Banner,Pink Confetti Balloon Bundle,1
242,Bach Shit Crazy Banner,Ring Bling Napkins,1
243,Bach Shit Crazy Banner,Sip Sip Hooray Banner,1
244,Bach Shit Crazy Banner,Squad Goals Banner,1
245,Bach Shit Crazy Banner,Team Bride Balloons,1
246,Bach Shit Crazy Banner,Unicorn Drink Floaties Set,1
247,Bachelorette Bash Acrylic Wine Tumbler,"36"" Mylar Engagement Ring Balloon",1
248,Bachelorette Bash Acrylic Wine Tumbler,Black & Gold Brushed Heart Balloon Set,1
249,Bachelorette Bash Acrylic Wine Tumbler,Black & White Drunk in Love Tanks - Drunk in Love (White Tank) ,1
